Amount,Date,Sender,Recipient,Note
86.16,2017-09-05T00:00:00.000Z,,Bp#1658533discount Zone,Other Services
65.94,2017-09-05T00:00:00.000Z,,Minero Restaurant,Other Services
95.94,2017-09-06T00:00:00.000Z,,Uber Trip,Other Services
58.89,2017-09-06T00:00:00.000Z,,Comcast Atlanta Cs 1x,Dining
90.6,2017-09-07T00:00:00.000Z,,Publix #719,Merchandise
15.14,2017-09-07T00:00:00.000Z,Adam Sanders,Shaurya Horne,Dinner on Thursday 🥵🍟
25.09,2017-09-08T00:00:00.000Z,,Ifc Theatres Llc Box Off,Other Services
41.01,2017-09-08T00:00:00.000Z,,Taqueria Del Sol Athens,Other Services
48.01,2017-09-09T00:00:00.000Z,,Mta*metrocard Machine,Other Services
-17.24,2017-09-09T00:00:00.000Z,Aiysha Fleming,Adam Sanders,Tickets on Thursday 🍌🌭
5.85,2017-09-10T00:00:00.000Z,Adam Sanders,Camron Ramirez,Dinner on Friday 🍋😋
41.23,2017-09-10T00:00:00.000Z,,Publix #719,Phone/Cable
18.8,2017-09-11T00:00:00.000Z,Adam Sanders,Camron Ramirez,Brunch on Sunday 🍏🤟
90.8,2017-09-11T00:00:00.000Z,,Ookook Korean Bbq,Dining
84.51,2017-09-12T00:00:00.000Z,Adam Sanders,Darcie Ferreira,Lunch on Sunday 🥙🍆
68.5,2017-09-12T00:00:00.000Z,,Exxonmobil 97303341,Health Care
54.53,2017-09-13T00:00:00.000Z,,Qt 838 07008386,Phone/Cable
67,2017-09-13T00:00:00.000Z,,Joy Cafe,Travel
-82.77,2017-09-14T00:00:00.000Z,Dominick Arellano,Adam Sanders,Lunch on Thursday 🥭🍍
10.46,2017-09-14T00:00:00.000Z,,Sunoco 0718764400,Health Care
44.8,2017-09-15T00:00:00.000Z,Adam Sanders,Camden Merritt,Drinks on Thursday 🥞🧄
41.78,2017-09-15T00:00:00.000Z,Adam Sanders,Norman Liu,Dinner on Monday 🤠🥝
98.49,2017-09-16T00:00:00.000Z,,Mercantile And Mas,Health Care
6.87,2017-09-16T00:00:00.000Z,,Publix #719,Phone/Cable
12.36,2017-09-17T00:00:00.000Z,,Publix #282,Phone/Cable
72.85,2017-09-17T00:00:00.000Z,,John Brown Smokehouse,Health Care
64.47,2017-09-18T00:00:00.000Z,Adam Sanders,Aarron Timms,Lunch on Saturday 🧈🥭
-95.14,2017-09-18T00:00:00.000Z,Murtaza Becker,Adam Sanders,Lunch on Friday 🥳🤟
59.47,2017-09-19T00:00:00.000Z,,Qt 798 07007982,Dining
-2.03,2017-09-19T00:00:00.000Z,Emilis Jensen,Adam Sanders,Groceries on Tuesday 🌶🧆
31.86,2017-09-20T00:00:00.000Z,,Exxonmobil 97303341,Travel
68.53,2017-09-20T00:00:00.000Z,,Publix #719,Other Services
50.56,2017-09-21T00:00:00.000Z,,Gu's Dumplings,Phone/Cable
13.34,2017-09-21T00:00:00.000Z,,Mercedes Benz Stadium,Travel
72.39,2017-09-22T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
19.45,2017-09-22T00:00:00.000Z,,Best Buy Mht 00008904,Phone/Cable
32.25,2017-09-23T00:00:00.000Z,,ConEd,Travel
45.97,2017-09-23T00:00:00.000Z,Adam Sanders,Devin Hollis,Tickets on Tuesday 🧈🍐
36.42,2017-09-24T00:00:00.000Z,,Down The Hatch,Travel
25.49,2017-09-24T00:00:00.000Z,Adam Sanders,Cory Maguire,Breakfast on Tuesday 🧇👻
27.69,2017-09-25T00:00:00.000Z,,Amazon.com*Azk12,Health Care
42.37,2017-09-25T00:00:00.000Z,,Bar Taco Inman Park,Travel
66.57,2017-09-26T00:00:00.000Z,,Ingles Gas Exp #133,Health Care
3.36,2017-09-26T00:00:00.000Z,,Amagansett Supersav,Merchandise
36.11,2017-09-27T00:00:00.000Z,Adam Sanders,Theo Freeman,Drinks on Saturday 🤑🙏
93.95,2017-09-27T00:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
23.61,2017-09-28T00:00:00.000Z,,Amazon Mktplace Pmts Www.,Health Care
62.58,2017-09-28T00:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
80.02,2017-09-29T00:00:00.000Z,,Trader Joe's #539 Qps,Travel
87.25,2017-09-29T00:00:00.000Z,,Amagansett Supersav,Dining
44.78,2017-09-30T00:00:00.000Z,,ConEd,Dining
30.64,2017-09-30T00:00:00.000Z,,Mta*metrocard Machine,Health Care
13.35,2017-10-01T00:00:00.000Z,Adam Sanders,Hina Couch,Brunch on Sunday 🥔🤑
30.33,2017-10-01T00:00:00.000Z,,Joy Cafe,Merchandise
59.95,2017-10-02T00:00:00.000Z,Adam Sanders,Kitty John,Snacks on Monday 🧅🍠
23.67,2017-10-02T00:00:00.000Z,Adam Sanders,Omar Nairn,Brunch on Saturday 🥒🧆
-84.52,2017-10-03T00:00:00.000Z,Darcie Ferreira,Adam Sanders,Groceries on Thursday 🌶🥦
98.98,2017-10-03T00:00:00.000Z,Adam Sanders,Dominick Arellano,Groceries on Tuesday 🥖🌭
19.2,2017-10-04T00:00:00.000Z,Adam Sanders,Theodor Larson,Lunch on Monday 🥩🍍
55.51,2017-10-04T00:00:00.000Z,,9640 Amc Online,Dining
8.9,2017-10-05T00:00:00.000Z,,Uber Eats,Health Care
85.18,2017-10-05T00:00:00.000Z,Adam Sanders,Camden Merritt,Brunch on Sunday 🍑👻
70.15,2017-10-06T00:00:00.000Z,,Shell Oil 57446255408,Health Care
10.83,2017-10-06T00:00:00.000Z,Adam Sanders,Aiysha Fleming,Snacks on Saturday 🍕👌
97.43,2017-10-07T00:00:00.000Z,Adam Sanders,Boyd Mcclain,Brunch on Friday 🥭🍓
33.36,2017-10-07T00:00:00.000Z,,Mta*metrocard Machine,Dining
-47.93,2017-10-08T00:00:00.000Z,Missy Hulme,Adam Sanders,Dinner on Tuesday ⛄️🍕
93.09,2017-10-08T00:00:00.000Z,,Amagansett Supersav,Other Services
50.8,2017-10-09T00:00:00.000Z,,Publix #719,Travel
7.12,2017-10-09T00:00:00.000Z,,Cinepolis Chelsea,Travel
51.26,2017-10-10T00:00:00.000Z,,Tm *atlanta Hawks,Dining
-16.08,2017-10-10T00:00:00.000Z,Devin Hollis,Adam Sanders,Brunch on Monday 🥞🥨
6.16,2017-10-11T00:00:00.000Z,Adam Sanders,Jamal Cole,Tickets on Saturday 🍠🍗
0.65,2017-10-11T00:00:00.000Z,,Sq *los Tacos Al Pastor,Health Care
5.84,2017-10-12T00:00:00.000Z,,Megabus.com,Other Services
76.65,2017-10-12T00:00:00.000Z,,Trader Joe's #539 Qps,Dining
44.08,2017-10-13T00:00:00.000Z,Adam Sanders,Kelsi Burt,Snacks on Thursday 🌭👌
41.86,2017-10-13T00:00:00.000Z,,Publix #282,Phone/Cable
-95.42,2017-10-14T00:00:00.000Z,Everett Dalton,Adam Sanders,Lunch on Sunday 🥙🥳
83.73,2017-10-14T00:00:00.000Z,,Exxonmobil 42181370,Merchandise
69.76,2017-10-15T00:00:00.000Z,,Fellini's Pizza-buckhe,Phone/Cable
49.91,2017-10-15T00:00:00.000Z,Adam Sanders,Paula Gallagher,Breakfast on Thursday 🍇🍏
14.89,2017-10-16T00:00:00.000Z,,Comcast Atlanta Cs 1x,Dining
83.14,2017-10-16T00:00:00.000Z,Adam Sanders,Camron Ramirez,Drinks on Sunday 🥔👌
70.91,2017-10-17T00:00:00.000Z,Adam Sanders,Thelma Stacey,Breakfast on Monday 🌶🍐
20.99,2017-10-17T00:00:00.000Z,,Best Buy Mht 00008904,Merchandise
36.4,2017-10-18T00:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
-33.33,2017-10-18T00:00:00.000Z,Jadene Holding,Adam Sanders,Drinks on Monday 🍔🍋
82,2017-10-19T00:00:00.000Z,,Publix #282,Travel
-90.24,2017-10-19T00:00:00.000Z,Malachi Cannon,Adam Sanders,Tickets on Monday 🥖🍍
17.56,2017-10-20T00:00:00.000Z,,Taqueria Del Sol Howell,Dining
19.35,2017-10-20T00:00:00.000Z,,Gu's Dumplings,Dining
33.34,2017-10-21T00:00:00.000Z,,Mercedes Benz Stadium,Travel
57.17,2017-10-21T00:00:00.000Z,,Rosati's Pizza- Buckhead,Other Services
-58.98,2017-10-22T00:00:00.000Z,Anthony Palacios,Adam Sanders,Brunch on Thursday 👌🧅
13.79,2017-10-22T00:00:00.000Z,,Best In Class Barber Shop,Merchandise
80.39,2017-10-23T00:00:00.000Z,Adam Sanders,Kitty John,Snacks on Friday 🥝🥥
93.8,2017-10-23T00:00:00.000Z,Adam Sanders,Lidia Barclay,Lunch on Wednesday 🍊🥓
70.82,2017-10-24T00:00:00.000Z,,Comcast Atlanta Cs 1x,Health Care
80.76,2017-10-24T00:00:00.000Z,Adam Sanders,Emilis Jensen,Groceries on Thursday 🥦🌭
19.48,2017-10-25T00:00:00.000Z,,Exxonmobil 47449913,Other Services
23.12,2017-10-25T00:00:00.000Z,Adam Sanders,Lidia Barclay,Lunch on Tuesday 🥬🍇
86.06,2017-10-26T00:00:00.000Z,,Publix #282,Health Care
82.2,2017-10-26T00:00:00.000Z,Adam Sanders,Missy Hulme,Tickets on Wednesday 🥙🥬
35.46,2017-10-27T00:00:00.000Z,Adam Sanders,Shaurya Horne,Dinner on Tuesday 🍐🥝
65.71,2017-10-27T00:00:00.000Z,,Exxonmobil 48085070,Health Care
-39.61,2017-10-28T00:00:00.000Z,Cory Maguire,Adam Sanders,Groceries on Wednesday 🍖🤟
-86.02,2017-10-28T00:00:00.000Z,Malachi Cannon,Adam Sanders,Groceries on Monday 🍇🍏
87.08,2017-10-29T00:00:00.000Z,Adam Sanders,Aiysha Fleming,Dinner on Thursday 🍓👌
52.82,2017-10-29T00:00:00.000Z,,Bp#4979753speaks #106,Dining
99.5,2017-10-30T00:00:00.000Z,,Mta*metrocard Machine,Health Care
3.87,2017-10-30T00:00:00.000Z,,Publix #719,Merchandise
48.74,2017-10-31T00:00:00.000Z,,Amagansett Supersav,Health Care
67.3,2017-10-31T00:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Drinks on Sunday 🤯🍈
1.99,2017-11-01T00:00:00.000Z,,Bar Taco Inman Park,Other Services
11.09,2017-11-01T00:00:00.000Z,,Trader Joe's #539 Qps,Travel
6.81,2017-11-02T00:00:00.000Z,,Victory Sandwich Bar - De,Health Care
87.91,2017-11-02T00:00:00.000Z,,Cvs/pharmacy #02082,Health Care
67.82,2017-11-03T00:00:00.000Z,,Bp#1721828ck 2211932,Phone/Cable
-2.27,2017-11-03T00:00:00.000Z,Missy Hulme,Adam Sanders,Brunch on Saturday 🥓🥥
6.54,2017-11-04T00:00:00.000Z,Adam Sanders,Aarron Timms,Brunch on Saturday 🍓🤗
16.8,2017-11-04T00:00:00.000Z,Adam Sanders,Yousef Walls,Tickets on Sunday 🧈🍐
39.02,2017-11-05T00:00:00.000Z,Adam Sanders,Lidia Barclay,Tickets on Sunday 🥞🍇
46.12,2017-11-05T00:00:00.000Z,,Amagansett Supersav,Merchandise
91.04,2017-11-06T01:00:00.000Z,Adam Sanders,Dominick Arellano,Groceries on Friday 🧈🍔
-19.46,2017-11-06T01:00:00.000Z,Hassan Nicholson,Adam Sanders,Breakfast on Monday 🥳🍟
40.36,2017-11-07T01:00:00.000Z,,Wagaya,Health Care
25.78,2017-11-07T01:00:00.000Z,,Citgo-metro Food & Gas,Travel
-54.32,2017-11-08T01:00:00.000Z,Kitty John,Adam Sanders,Tickets on Saturday 🤑🥝
15.86,2017-11-08T01:00:00.000Z,Adam Sanders,Tyriq Chavez,Groceries on Monday 🤩🧇
60.52,2017-11-09T01:00:00.000Z,,Trader Joe's #539 Qps,Health Care
-9.4,2017-11-09T01:00:00.000Z,Anthony Palacios,Adam Sanders,Breakfast on Tuesday ⛄️🤑
-77.39,2017-11-10T01:00:00.000Z,Jamal Cole,Adam Sanders,Drinks on Tuesday 😍🥩
65.3,2017-11-10T01:00:00.000Z,,Gu's Dumplings,Phone/Cable
32.99,2017-11-11T01:00:00.000Z,Adam Sanders,Hina Couch,Dinner on Sunday 🍑⛄️
67.07,2017-11-11T01:00:00.000Z,,76 - Gse 76 Los Feliz,Other Services
-21.71,2017-11-12T01:00:00.000Z,Jamal Cole,Adam Sanders,Dinner on Wednesday 🥥🥐
-82.34,2017-11-12T01:00:00.000Z,Alivia Mackay,Adam Sanders,Groceries on Wednesday 🍈🌮
44.63,2017-11-13T01:00:00.000Z,,Trader Joe's #539 Qps,Dining
-30.41,2017-11-13T01:00:00.000Z,Tyriq Chavez,Adam Sanders,Brunch on Friday 🤗🍎
24.11,2017-11-14T01:00:00.000Z,Adam Sanders,Shaurya Horne,Snacks on Monday 🍊🍊
33.83,2017-11-14T01:00:00.000Z,,Marta Atlanta 00000018,Dining
72.02,2017-11-15T01:00:00.000Z,,Minero Restaurant,Health Care
93.31,2017-11-15T01:00:00.000Z,,Fellini's Pizza-buckhe,Phone/Cable
51.59,2017-11-16T01:00:00.000Z,,Tuk Tuk Thai Food Loft,Merchandise
28.86,2017-11-16T01:00:00.000Z,,Uber Trip Azk12,Travel
-33.25,2017-11-17T01:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Breakfast on Saturday 🥭🍑
-46.44,2017-11-17T01:00:00.000Z,Dominik Lowe,Adam Sanders,Dinner on Thursday 😍🤠
44.32,2017-11-18T01:00:00.000Z,Adam Sanders,Carlo Hodge,Groceries on Sunday 🍔🥯
-73.47,2017-11-18T01:00:00.000Z,Darcie Ferreira,Adam Sanders,Snacks on Friday 🧅🥖
38.13,2017-11-19T01:00:00.000Z,Adam Sanders,Amelia-Lily Pham,Groceries on Thursday 🧄🧆
35.28,2017-11-19T01:00:00.000Z,Adam Sanders,Abdurahman Fox,Brunch on Thursday 🥨🧀
28.3,2017-11-20T01:00:00.000Z,,Ton Ton,Other Services
7.1,2017-11-20T01:00:00.000Z,,Cvs/pharmacy #02082,Dining
51.01,2017-11-21T01:00:00.000Z,,Bp#8247694circle K St 27,Other Services
-9.91,2017-11-21T01:00:00.000Z,Alivia Mackay,Adam Sanders,Lunch on Sunday 🥨🥵
54.5,2017-11-22T01:00:00.000Z,,Trader Joe's #539 Qps,Other Services
61.88,2017-11-22T01:00:00.000Z,,Exxonmobil 42181370,Health Care
21.08,2017-11-23T01:00:00.000Z,Adam Sanders,Jamal Cole,Snacks on Tuesday 🍇🙏
68.65,2017-11-23T01:00:00.000Z,Adam Sanders,Kelsi Burt,Groceries on Tuesday 🤑🤩
89.36,2017-11-24T01:00:00.000Z,Adam Sanders,Aarron Timms,Drinks on Friday 🤯🍆
74.73,2017-11-24T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
16.14,2017-11-25T01:00:00.000Z,Adam Sanders,Theodor Larson,Tickets on Tuesday 🥥🥞
83.9,2017-11-25T01:00:00.000Z,,Amagansett Supersav,Dining
73.37,2017-11-26T01:00:00.000Z,,Mta*metrocard Machine,Merchandise
52.61,2017-11-26T01:00:00.000Z,Adam Sanders,Murtaza Becker,Lunch on Sunday 🌭🍗
57.34,2017-11-27T01:00:00.000Z,,Exxonmobil 97303341,Travel
46.64,2017-11-27T01:00:00.000Z,,Spectrum,Health Care
34.5,2017-11-28T01:00:00.000Z,Adam Sanders,Arron Thorne,Groceries on Monday 🧅🥙
51.94,2017-11-28T01:00:00.000Z,,Amagansett Supersav,Travel
86.24,2017-11-29T01:00:00.000Z,,Amazon.com*Azk12,Dining
20.07,2017-11-29T01:00:00.000Z,Adam Sanders,Cory Maguire,Groceries on Saturday 😋🥳
0.4,2017-11-30T01:00:00.000Z,,Best Buy Mht 00008904,Travel
86.02,2017-11-30T01:00:00.000Z,,Fellini's Pizza-buckhe,Phone/Cable
-37.54,2017-12-01T01:00:00.000Z,Nabilah Knowles,Adam Sanders,Lunch on Sunday 🍟🍑
84.7,2017-12-01T01:00:00.000Z,Adam Sanders,Norman Liu,Breakfast on Monday 🍈🍓
42.54,2017-12-02T01:00:00.000Z,,Amagansett Supersav,Other Services
-46.64,2017-12-02T01:00:00.000Z,Jadene Holding,Adam Sanders,Tickets on Sunday 🍌🥞
78.34,2017-12-03T01:00:00.000Z,,Mta*metrocard Machine,Dining
39.53,2017-12-03T01:00:00.000Z,,Joy Cafe,Travel
90.44,2017-12-04T01:00:00.000Z,,Exxonmobil 48085070,Phone/Cable
87.84,2017-12-04T01:00:00.000Z,,Music Midtown,Travel
46.2,2017-12-05T01:00:00.000Z,,Bar Taco Inman Park,Dining
-66.17,2017-12-05T01:00:00.000Z,Malachi Cannon,Adam Sanders,Drinks on Saturday 🥥🤑
17,2017-12-06T01:00:00.000Z,,Publix #719,Phone/Cable
-49.01,2017-12-06T01:00:00.000Z,Carlo Hodge,Adam Sanders,Brunch on Thursday 🧇🤩
23.86,2017-12-07T01:00:00.000Z,,Tm *atlanta United Fc,Phone/Cable
18.43,2017-12-07T01:00:00.000Z,,Tm *atlanta Hawks,Health Care
73.93,2017-12-08T01:00:00.000Z,,Trader Joe's #539 Qps,Phone/Cable
64.47,2017-12-08T01:00:00.000Z,,Texaco 0381549,Phone/Cable
-80.34,2017-12-09T01:00:00.000Z,Amelia-Lily Pham,Adam Sanders,Brunch on Saturday 🥞🤗
56.76,2017-12-09T01:00:00.000Z,,ConEd,Phone/Cable
52.37,2017-12-10T01:00:00.000Z,,Amagansett Supersav,Other Services
32.59,2017-12-10T01:00:00.000Z,,Mta*metrocard Machine,Travel
24.53,2017-12-11T01:00:00.000Z,,Amagansett Supersav,Dining
77.69,2017-12-11T01:00:00.000Z,,Bp#1658533discount Zone,Phone/Cable
5.38,2017-12-12T01:00:00.000Z,,Comcast Atlanta Cs 1x,Other Services
49.79,2017-12-12T01:00:00.000Z,,Marta Atlanta 00000018,Merchandise
5.42,2017-12-13T01:00:00.000Z,,Mta*metrocard Machine,Other Services
-56.54,2017-12-13T01:00:00.000Z,Renae Hutchinson,Adam Sanders,Brunch on Friday 🍖🥙
48.99,2017-12-14T01:00:00.000Z,,Ingles Gas Exp #133,Dining
71.72,2017-12-14T01:00:00.000Z,,Publix #719,Health Care
-66.39,2017-12-15T01:00:00.000Z,Cory Maguire,Adam Sanders,Brunch on Monday 🌶🍌
29.41,2017-12-15T01:00:00.000Z,,Uber Trip Azk12,Health Care
40.76,2017-12-16T01:00:00.000Z,,ConEd,Health Care
39.29,2017-12-16T01:00:00.000Z,Adam Sanders,Todd Mcmillan,Snacks on Saturday 🧇🙏
22.41,2017-12-17T01:00:00.000Z,,Tuk Tuk Thai Food Loft,Other Services
82.25,2017-12-17T01:00:00.000Z,Adam Sanders,Jo Pena,Groceries on Sunday ⛄️🍔
-7.35,2017-12-18T01:00:00.000Z,Oran Crane,Adam Sanders,Lunch on Saturday 🧇🍔
57.44,2017-12-18T01:00:00.000Z,Adam Sanders,Gemma Avery,Brunch on Monday 🥥🥙
-87.12,2017-12-19T01:00:00.000Z,Todd Mcmillan,Adam Sanders,Tickets on Thursday 🥕🍏
20.43,2017-12-19T01:00:00.000Z,Adam Sanders,Camden Merritt,Lunch on Thursday 🍑🧈
26.16,2017-12-20T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
99.43,2017-12-20T01:00:00.000Z,,Spectrum,Health Care
69.21,2017-12-21T01:00:00.000Z,Adam Sanders,Emilis Jensen,Snacks on Monday 🥔🥓
46.48,2017-12-21T01:00:00.000Z,Adam Sanders,Arron Thorne,Breakfast on Thursday 🤑🍓
73.39,2017-12-22T01:00:00.000Z,Adam Sanders,Courtnie Mccarty,Brunch on Tuesday 🍉⛄️
85.34,2017-12-22T01:00:00.000Z,Adam Sanders,Norman Liu,Groceries on Friday 🧆🍕
20.32,2017-12-23T01:00:00.000Z,,Anticos Pizza,Other Services
15.86,2017-12-23T01:00:00.000Z,,Sq *dsk Brooklyn,Phone/Cable
41.7,2017-12-24T01:00:00.000Z,,Murphy6761atwalmart,Other Services
95.43,2017-12-24T01:00:00.000Z,,Sq *dsk Brooklyn,Health Care
29.16,2017-12-25T01:00:00.000Z,Adam Sanders,Carlo Hodge,Breakfast on Friday 🌭🧄
41.11,2017-12-25T01:00:00.000Z,,Publix #719,Phone/Cable
95.25,2017-12-26T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
96.08,2017-12-26T01:00:00.000Z,,Trader Joe's #539 Qps,Dining
54.29,2017-12-27T01:00:00.000Z,,Trader Joe's #539 Qps,Dining
-2.09,2017-12-27T01:00:00.000Z,Thelma Stacey,Adam Sanders,Snacks on Thursday 🤠🥥
9.22,2017-12-28T01:00:00.000Z,,Ookook Korean Bbq,Dining
-25.61,2017-12-28T01:00:00.000Z,Tyriq Chavez,Adam Sanders,Groceries on Wednesday 🍖🍗
88.83,2017-12-29T01:00:00.000Z,,Minero Restaurant,Travel
20.17,2017-12-29T01:00:00.000Z,,Trader Joe's #539 Qps,Other Services
36.51,2017-12-30T01:00:00.000Z,,9640 Amc Online,Health Care
61.32,2017-12-30T01:00:00.000Z,Adam Sanders,Cory Maguire,Lunch on Monday 🍉🤟
27.04,2017-12-31T01:00:00.000Z,,Megabus.com,Other Services
56.33,2017-12-31T01:00:00.000Z,,Publix #719,Merchandise
36.57,2018-01-01T01:00:00.000Z,,Amarachi Restaurant,Travel
71.49,2018-01-01T01:00:00.000Z,,Best Buy 00006098,Phone/Cable
18.06,2018-01-02T01:00:00.000Z,,Citgo-metro Food & Gas,Other Services
50.12,2018-01-02T01:00:00.000Z,,Sq *los Tacos Al Pastor,Health Care
54.19,2018-01-03T01:00:00.000Z,,Tom's Dim Sum,Phone/Cable
38.02,2018-01-03T01:00:00.000Z,,Amagansett Supersav,Travel
-8.78,2018-01-04T01:00:00.000Z,Jadene Holding,Adam Sanders,Tickets on Saturday 🍕🥖
-3.11,2018-01-04T01:00:00.000Z,Paula Gallagher,Adam Sanders,Brunch on Monday 🥥🙏
90.16,2018-01-05T01:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
46.86,2018-01-05T01:00:00.000Z,Adam Sanders,Missy Hulme,Lunch on Friday 🍍🍠
5.69,2018-01-06T01:00:00.000Z,,Karakatta,Phone/Cable
73.28,2018-01-06T01:00:00.000Z,Adam Sanders,Dominick Arellano,Drinks on Sunday 🍠🤯
2.99,2018-01-07T01:00:00.000Z,Adam Sanders,Anthony Palacios,Lunch on Friday 🍏🤑
20.68,2018-01-07T01:00:00.000Z,,Amazon Mktplace Pmts Www.,Travel
39.79,2018-01-08T01:00:00.000Z,,Joy Cafe,Travel
22.76,2018-01-08T01:00:00.000Z,Adam Sanders,Tyriq Chavez,Drinks on Sunday 🍗🥵
-12.14,2018-01-09T01:00:00.000Z,Jamal Cole,Adam Sanders,Lunch on Friday 🥳🍅
90.15,2018-01-09T01:00:00.000Z,,Exxonmobil 42181370,Phone/Cable
27.17,2018-01-10T01:00:00.000Z,Adam Sanders,Cory Maguire,Breakfast on Sunday 👻🍊
-23.9,2018-01-10T01:00:00.000Z,Missy Hulme,Adam Sanders,Brunch on Sunday 🧈🍔
46.7,2018-01-11T01:00:00.000Z,,Qt 761 07007610,Travel
38.85,2018-01-11T01:00:00.000Z,,Comcast Atlanta Cs 1x,Health Care
85.64,2018-01-12T01:00:00.000Z,,Exxonmobil 48085070,Phone/Cable
-61.16,2018-01-12T01:00:00.000Z,Sara Harrington,Adam Sanders,Groceries on Tuesday 🌶🥓
80.46,2018-01-13T01:00:00.000Z,,Publix #719,Merchandise
72.52,2018-01-13T01:00:00.000Z,,Bp#1658533discount Zone,Health Care
16.11,2018-01-14T01:00:00.000Z,,Qt 761 07007610,Dining
69.53,2018-01-14T01:00:00.000Z,,Amagansett Supersav,Merchandise
6.25,2018-01-15T01:00:00.000Z,,Publix #719,Other Services
52.61,2018-01-15T01:00:00.000Z,,Trader Joe's #539 Qps,Merchandise
10.1,2018-01-16T01:00:00.000Z,Adam Sanders,Lex Curran,Brunch on Wednesday 🌭🧄
17.72,2018-01-16T01:00:00.000Z,,Tm *atlanta United Fc,Other Services
76.25,2018-01-17T01:00:00.000Z,,Anticos Pizza,Travel
87.98,2018-01-17T01:00:00.000Z,Adam Sanders,Malachi Cannon,Tickets on Monday 🧇🥝
47.35,2018-01-18T01:00:00.000Z,,Sq *brick+mortar Go,Phone/Cable
92.24,2018-01-18T01:00:00.000Z,Adam Sanders,Camron Ramirez,Snacks on Saturday 👌🥕
38.42,2018-01-19T01:00:00.000Z,,Minero Restaurant,Dining
-70.9,2018-01-19T01:00:00.000Z,Aarron Timms,Adam Sanders,Drinks on Tuesday 🌯🥥
30.87,2018-01-20T01:00:00.000Z,,Exxonmobil 47449913,Phone/Cable
62.98,2018-01-20T01:00:00.000Z,,Amagansett Supersav,Dining
37.71,2018-01-21T01:00:00.000Z,Adam Sanders,Norman Liu,Brunch on Monday 🥦🥭
73.32,2018-01-21T01:00:00.000Z,,Tm *atlanta Hawks,Merchandise
36.97,2018-01-22T01:00:00.000Z,,Art Bar,Travel
42.71,2018-01-22T01:00:00.000Z,,Publix #719,Merchandise
63.14,2018-01-23T01:00:00.000Z,Adam Sanders,Boyd Mcclain,Dinner on Tuesday 🥵🥑
33.35,2018-01-23T01:00:00.000Z,,Publix #719,Dining
99.37,2018-01-24T01:00:00.000Z,,Mta*metrocard Machine,Phone/Cable
42.84,2018-01-24T01:00:00.000Z,,Publix #719,Phone/Cable
-95.83,2018-01-25T01:00:00.000Z,Theodor Larson,Adam Sanders,Groceries on Saturday 🥥🍈
9.18,2018-01-25T01:00:00.000Z,,Amagansett Supersav,Merchandise
60.92,2018-01-26T01:00:00.000Z,Adam Sanders,Oran Crane,Groceries on Tuesday 🥪🌶
88.22,2018-01-26T01:00:00.000Z,,Cvs/pharmacy #02082,Dining
69.22,2018-01-27T01:00:00.000Z,Adam Sanders,Abdurahman Fox,Dinner on Wednesday 🍞🍊
-94.93,2018-01-27T01:00:00.000Z,Camden Merritt,Adam Sanders,Drinks on Tuesday 🍗🍅
-32.3,2018-01-28T01:00:00.000Z,Jamal Cole,Adam Sanders,Lunch on Monday 🥥🌯
75.75,2018-01-28T01:00:00.000Z,,Publix #719,Other Services
62.68,2018-01-29T01:00:00.000Z,,Sq *brick+mortar Go,Travel
6.48,2018-01-29T01:00:00.000Z,,Publix #719,Merchandise
-64.89,2018-01-30T01:00:00.000Z,Shaurya Horne,Adam Sanders,Dinner on Wednesday 🌯🤯
-75.76,2018-01-30T01:00:00.000Z,Camden Merritt,Adam Sanders,Brunch on Sunday 🍕🥪
-81.88,2018-01-31T01:00:00.000Z,Tyrell Padilla,Adam Sanders,Dinner on Saturday 🍟🍆
68.42,2018-01-31T01:00:00.000Z,Adam Sanders,Gemma Avery,Brunch on Thursday 🤑🤟
46.71,2018-02-01T01:00:00.000Z,Adam Sanders,Boyd Mcclain,Breakfast on Monday 🥖🍒
21.17,2018-02-01T01:00:00.000Z,,Publix #719,Other Services
85.35,2018-02-02T01:00:00.000Z,Adam Sanders,Missy Hulme,Tickets on Tuesday 🥦🤑
80.23,2018-02-02T01:00:00.000Z,Adam Sanders,Sara Harrington,Tickets on Sunday 🍑🍑
-23.03,2018-02-03T01:00:00.000Z,Devin Hollis,Adam Sanders,Lunch on Monday 🌶🍍
-70.87,2018-02-03T01:00:00.000Z,Courtnie Mccarty,Adam Sanders,Groceries on Friday 🥐😍
-60.36,2018-02-04T01:00:00.000Z,Tyriq Chavez,Adam Sanders,Snacks on Monday 🙏🍊
-70.55,2018-02-04T01:00:00.000Z,Norman Liu,Adam Sanders,Dinner on Monday 🥚🌮
70.69,2018-02-05T01:00:00.000Z,,ConEd,Merchandise
59.66,2018-02-05T01:00:00.000Z,,Comcast Atlanta Cs 1x,Other Services
